"","Entry","Entry.name","Status","Protein.names","Gene.names","Organism","Length","EC.number","Cross.reference..GeneID.","Cross.reference..KEGG.","Cross.reference..GeneDB.","Ensembl.transcript","Cross.reference..RefSeq.","Cross.reference..UniGene.","Gene.ontology..GO.","Gene.ontology.IDs","Involvement.in.disease","Interacts.with","g_o"
"11","Q9HTX3","P5217_PSEAE","reviewed","Probable binding protein component of ABC iron transporter PA5217","PA5217","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",332,"","880842;","pae:PA5217;",NA,NA,"NP_253904.1;WP_003096289.1;",NA,"","",NA,"",""
"12","Q05097","PA1L_PSEAE","reviewed","PA-I galactophilic lectin (PA-IL) (Galactose-binding lectin)","lecA pa1L PA2570","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",122,"","882335;","pae:PA2570;",NA,NA,"NP_251260.1;WP_003102492.1;",NA,"cell surface [GO:0009986]; cytoplasm [GO:0005737]; periplasmic space [GO:0042597]; carbohydrate binding [GO:0030246]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]","GO:0005737; GO:0007157; GO:0009986; GO:0030246; GO:0042597",NA,"","GO:0005737 GO:0007157 GO:0009986 GO:0030246 GO:0042597"
"13","Q9I0J1","NUOL_PSEAE","reviewed","NADH-quinone oxidoreductase subunit L (EC 7.1.1.-) (NADH dehydrogenase I subunit L) (NDH-1 subunit L)","nuoL PA2647","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",615,"7.1.1.-","882356;","pae:PA2647;",NA,NA,"NP_251337.1;WP_003097681.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]","GO:0005886; GO:0008137; GO:0016021; GO:0042773; GO:0048038",NA,"","GO:0005886 GO:0008137 GO:0016021 GO:0042773 GO:0048038"
"14","Q9I4Z4","PAL_PSEAE","reviewed","Peptidoglycan-associated lipoprotein (PAL)","pal oprL PA0973","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",168,"","882991;","pae:PA0973;",NA,NA,"NP_249664.1;WP_003111417.1;",NA,"cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; cell cycle [GO:0007049]; cell division [GO:0051301]","GO:0007049; GO:0009279; GO:0016021; GO:0051301",NA,"","GO:0007049 GO:0009279 GO:0016021 GO:0051301"
"15","Q9I513","PUR5_PSEAE","reviewed","Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)","purM PA0945","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",353,"6.3.3.1","879549;","pae:PA0945;",NA,NA,"NP_249636.1;WP_003112583.1;",NA,"cytosol [GO:0005829]; ATP binding [GO:0005524]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]; 'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084]; purine nucleotide biosynthetic process [GO:0006164]","GO:0004637; GO:0004641; GO:0005524; GO:0005829; GO:0006164; GO:0006189; GO:0046084",NA,"","GO:0004637 GO:0004641 GO:0005524 GO:0005829 GO:0006164 GO:0006189 GO:0046084"
"16","Q9HV70","PANB2_PSEAE","reviewed","3-methyl-2-oxobutanoate hydroxymethyltransferase 2 (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase 2) (KPHMT 2)","panB2 PA4729","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",266,"2.1.2.11","881621;","pae:PA4729;",NA,NA,"NP_253417.1;WP_003113913.1;",NA,"cytoplasm [GO:0005737]; 3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]; magnesium ion binding [GO:0000287]; pantothenate biosynthetic process [GO:0015940]","GO:0000287; GO:0003864; GO:0005737; GO:0015940",NA,"","GO:0000287 GO:0003864 GO:0005737 GO:0015940"
"17","Q9I6Q3","PCAK_PSEAE","reviewed","4-hydroxybenzoate transporter PcaK","pcaK PA0235","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",448,"","881907;","pae:PA0235;",NA,NA,"NP_248926.1;WP_003101875.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; chemotaxis [GO:0006935]","GO:0005886; GO:0006935; GO:0016021; GO:0022857",NA,"","GO:0005886 GO:0006935 GO:0016021 GO:0022857"
"18","Q9HXE9","PCS_PSEAE","reviewed","Phosphatidylcholine synthase (PC synthase) (PCS) (EC 2.7.8.24) (CDP-diglyceride-choline O-phosphatidyltransferase)","pcs PA3857","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",238,"2.7.8.24","879785;","pae:PA3857;",NA,NA,"NP_252546.1;WP_003105024.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; phosphatidylcholine synthase activity [GO:0050520]; phospholipid biosynthetic process [GO:0008654]","GO:0005886; GO:0008654; GO:0016021; GO:0050520",NA,"","GO:0005886 GO:0008654 GO:0016021 GO:0050520"
"19","G3XD24","PCTA_PSEAE","reviewed","Methyl-accepting chemotaxis protein PctA","pctA PA4309","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",629,"","881565;","pae:PA4309;",NA,NA,"NP_252999.1;WP_003148125.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; amino acid binding [GO:0016597]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; response to amino acid [GO:0043200]; signal transduction [GO:0007165]","GO:0004888; GO:0005886; GO:0006935; GO:0007165; GO:0016021; GO:0016597; GO:0043200",NA,"","GO:0004888 GO:0005886 GO:0006935 GO:0007165 GO:0016021 GO:0016597 GO:0043200"
"20","Q9HW93","PCTC_PSEAE","reviewed","Methyl-accepting chemotaxis protein PctC","pctC PA4307","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",632,"","881576;","pae:PA4307;",NA,NA,"NP_252997.1;WP_003148124.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; amino acid binding [GO:0016597]; chemotaxis [GO:0006935]; response to amino acid [GO:0043200]; signal transduction [GO:0007165]","GO:0005886; GO:0006935; GO:0007165; GO:0016021; GO:0016597; GO:0043200",NA,"","GO:0005886 GO:0006935 GO:0007165 GO:0016021 GO:0016597 GO:0043200"
"21","O86062","NUDC_PSEAE","reviewed","NADH pyrophosphatase (EC 3.6.1.22)","nudC PA1823","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",278,"3.6.1.22","880282;","pae:PA1823;",NA,NA,"NP_250514.1;WP_003113595.1;",NA,"cytosol [GO:0005829]; hydrolase activity [GO:0016787]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; NAD+ diphosphatase activity [GO:0000210]; NADH pyrophosphatase activity [GO:0035529]; zinc ion binding [GO:0008270]; NAD catabolic process [GO:0019677]; NADH metabolic process [GO:0006734]; NADP catabolic process [GO:0006742]","GO:0000210; GO:0000287; GO:0005829; GO:0006734; GO:0006742; GO:0008270; GO:0016787; GO:0019677; GO:0030145; GO:0035529",NA,"","GO:0000210 GO:0000287 GO:0005829 GO:0006734 GO:0006742 GO:0008270 GO:0016787 GO:0019677 GO:0030145 GO:0035529"
"22","Q9I0J5","NUOH_PSEAE","reviewed","NADH-quinone oxidoreductase subunit H (EC 7.1.1.-) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)","nuoH PA2643","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",331,"7.1.1.-","882350;","pae:PA2643;",NA,NA,"NP_251333.1;WP_003090465.1;",NA,"integral component of plasma membrane [GO:0005887]; NADH dehydrogenase complex [GO:0030964]; plasma membrane respiratory chain complex I [GO:0045272]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]","GO:0005887; GO:0009060; GO:0016655; GO:0030964; GO:0045272; GO:0048038",NA,"","GO:0005887 GO:0009060 GO:0016655 GO:0030964 GO:0045272 GO:0048038"
"23","Q9I0J4","NUOI_PSEAE","reviewed","NADH-quinone oxidoreductase subunit I (EC 7.1.1.-) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)","nuoI PA2644","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",182,"7.1.1.-","882353;","pae:PA2644;",NA,NA,"NP_251334.1;WP_003090467.1;",NA,"plasma membrane respiratory chain complex I [GO:0045272]; 4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH dehydrogenase (quinone) activity [GO:0050136]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]","GO:0005506; GO:0009060; GO:0045272; GO:0048038; GO:0050136; GO:0051539",NA,"","GO:0005506 GO:0009060 GO:0045272 GO:0048038 GO:0050136 GO:0051539"
"24","Q9I0J2","NUOK_PSEAE","reviewed","NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)","nuoK PA2646","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",102,"7.1.1.-","882355;","pae:PA2646;",NA,NA,"NP_251336.1;WP_003090475.1;",NA,"integral component of membrane [GO:0016021]; NADH dehydrogenase complex [GO:0030964]; plasma membrane respiratory chain complex I [GO:0045272]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]","GO:0008137; GO:0016021; GO:0030964; GO:0042773; GO:0045272; GO:0048038",NA,"","GO:0008137 GO:0016021 GO:0030964 GO:0042773 GO:0045272 GO:0048038"
"25","Q9I0I9","NUON_PSEAE","reviewed","NADH-quinone oxidoreductase subunit N (EC 7.1.1.-) (NADH dehydrogenase I subunit N) (NDH-1 subunit N)","nuoN PA2649","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",486,"7.1.1.-","882358;","pae:PA2649;",NA,NA,"NP_251339.1;WP_003090482.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]; cellular response to antibiotic [GO:0071236]","GO:0005886; GO:0008137; GO:0016021; GO:0042773; GO:0048038; GO:0071236",NA,"","GO:0005886 GO:0008137 GO:0016021 GO:0042773 GO:0048038 GO:0071236"
"26","P11724","OTCA_PSEAE","reviewed","Ornithine carbamoyltransferase, anabolic (OTCase) (EC 2.1.3.3)","argF PA3537","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",305,"2.1.3.3","878793;","pae:PA3537;",NA,NA,"NP_252227.1;WP_003092090.1;",NA,"cytoplasm [GO:0005737]; amino acid binding [GO:0016597]; ornithine carbamoyltransferase activity [GO:0004585]; arginine biosynthetic process via ornithine [GO:0042450]; citrulline biosynthetic process [GO:0019240]","GO:0004585; GO:0005737; GO:0016597; GO:0019240; GO:0042450",NA,"","GO:0004585 GO:0005737 GO:0016597 GO:0019240 GO:0042450"
"27","P08308","OTCC_PSEAE","reviewed","Ornithine carbamoyltransferase, catabolic (OTCase) (EC 2.1.3.3)","arcB PA5172","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",336,"2.1.3.3","881792;","pae:PA5172;",NA,NA,"NP_253859.1;WP_003100031.1;",NA,"cytoplasm [GO:0005737]; amino acid binding [GO:0016597]; ornithine carbamoyltransferase activity [GO:0004585]; arginine biosynthetic process via ornithine [GO:0042450]; arginine catabolic process to ornithine [GO:0019547]; arginine deiminase pathway [GO:0019546]; citrulline biosynthetic process [GO:0019240]","GO:0004585; GO:0005737; GO:0016597; GO:0019240; GO:0019546; GO:0019547; GO:0042450",NA,"","GO:0004585 GO:0005737 GO:0016597 GO:0019240 GO:0019546 GO:0019547 GO:0042450"
"28","Q9HVV4","PTSN_PSEAE","reviewed","Nitrogen regulatory protein (Enzyme IIA-NTR) [Includes: Phosphotransferase enzyme IIA component (PTS system EIIA component)]","ptsN PA4464","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",154,"","880997;","pae:PA4464;",NA,NA,"NP_253154.1;WP_003098853.1;",NA,"cytoplasm [GO:0005737]; kinase activity [GO:0016301]; protein kinase activator activity [GO:0030295]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; regulation of ion transmembrane transporter activity [GO:0032412]","GO:0005737; GO:0008982; GO:0009401; GO:0016301; GO:0030295; GO:0032412",NA,"","GO:0005737 GO:0008982 GO:0009401 GO:0016301 GO:0030295 GO:0032412"
"29","Q9I0K0","NUOB_PSEAE","reviewed","NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)","nuoB PA2638","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",225,"7.1.1.-","882345;","pae:PA2638;",NA,NA,"NP_251328.1;WP_003090455.1;",NA,"plasma membrane respiratory chain complex I [GO:0045272]; 4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]","GO:0005506; GO:0008137; GO:0009060; GO:0015990; GO:0045272; GO:0048038; GO:0051539",NA,"","GO:0005506 GO:0008137 GO:0009060 GO:0015990 GO:0045272 GO:0048038 GO:0051539"
"30","Q9I0J8","NUOE_PSEAE","reviewed","NADH-quinone oxidoreductase subunit E (EC 7.1.1.-) (NADH dehydrogenase I subunit E) (NDH-1 subunit E)","nuoE PA2640","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",166,"7.1.1.-","882347;","pae:PA2640;",NA,NA,"NP_251330.1;WP_003090460.1;",NA,"plasma membrane respiratory chain complex I [GO:0045272]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; NADH dehydrogenase activity [GO:0003954]; quinone binding [GO:0048038]","GO:0003954; GO:0045272; GO:0046872; GO:0048038; GO:0051537",NA,"","GO:0003954 GO:0045272 GO:0046872 GO:0048038 GO:0051537"
"31","Q9I0J7","NUOF_PSEAE","reviewed","NADH-quinone oxidoreductase subunit F (EC 7.1.1.-) (NADH dehydrogenase I subunit F) (NDH-1 subunit F)","nuoF PA2641","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",448,"7.1.1.-","882348;","pae:PA2641;",NA,NA,"NP_251331.1;WP_003097674.1;",NA,"plasma membrane respiratory chain complex I [GO:0045272]; 4 iron, 4 sulfur cluster binding [GO:0051539]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; cellular respiration [GO:0045333]","GO:0008137; GO:0010181; GO:0045272; GO:0045333; GO:0046872; GO:0048038; GO:0051287; GO:0051539",NA,"","GO:0008137 GO:0010181 GO:0045272 GO:0045333 GO:0046872 GO:0048038 GO:0051287 GO:0051539"
"32","Q9I0J6","NUOG_PSEAE","reviewed","NADH-quinone oxidoreductase subunit G (EC 7.1.1.-) (NADH dehydrogenase I subunit G) (NDH-1 subunit G)","nuoG PA2642","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",905,"7.1.1.-","882349;","pae:PA2642;",NA,NA,"NP_251332.1;WP_003113377.1;",NA,"plasma membrane respiratory chain complex I [GO:0045272]; 2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]; cellular respiration [GO:0045333]","GO:0008137; GO:0009055; GO:0042773; GO:0045272; GO:0045333; GO:0046872; GO:0048038; GO:0051537; GO:0051539",NA,"","GO:0008137 GO:0009055 GO:0042773 GO:0045272 GO:0045333 GO:0046872 GO:0048038 GO:0051537 GO:0051539"
"33","Q9I0J0","NUOM_PSEAE","reviewed","NADH-quinone oxidoreductase subunit M (EC 7.1.1.-) (NADH dehydrogenase I subunit M) (NDH-1 subunit M)","nuoM PA2648","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",509,"7.1.1.-","882357;","pae:PA2648;",NA,NA,"NP_251338.1;WP_003097684.1;",NA,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ubiquinone binding [GO:0048039]; aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]","GO:0005886; GO:0008137; GO:0009060; GO:0015990; GO:0016021; GO:0042773; GO:0048039",NA,"","GO:0005886 GO:0008137 GO:0009060 GO:0015990 GO:0016021 GO:0042773 GO:0048039"
